roll_no,gender,programme,level,specialisation,ssc_p,hsc_p,degree_p,backlogs,internships,projects,certifications,coding_score,communication_score,workex,status,salary_lpa
22CS079,Female,M.Sc CS,PG,Full Stack,92.84,70.42,77.92,0,0,1,2,57,7.4,Yes,Not Placed,
22CS080,Female,BCA,UG,Full Stack,70.69,74.78,69.81,0,0,1,2,52,9.6,No,Placed,5.85
22CS081,Female,BCA,UG,Full Stack,86.45,71.89,65.62,1,0,3,2,60,7.5,No,Not Placed,
22CS082,Male,B.Sc CS,UG,Full Stack,76.68,74.86,68.94,0,1,2,2,57,8.8,Yes,Placed,5.37
22CS083,Female,BCA,UG,Cloud & DevOps,71.88,71.29,73.42,0,0,3,2,51,4.8,Yes,Placed,4.09
22CS084,Male,B.Sc CS,UG,Full Stack,57.92,70.57,72.34,0,2,5,2,60,6.6,No,Placed,5.39
22CS085,Male,B.Sc CS,UG,AI & Data Science,74.28,72.29,71.78,1,0,3,2,59,4.6,No,Not Placed,
22CS086,Male,BCA,UG,Full Stack,60.41,61.88,60.63,1,0,4,2,48,5.7,No,Not Placed,
22CS087,Female,BCA,UG,Full Stack,85.67,76.78,77.14,0,2,3,2,65,7.6,Yes,Placed,5.45
22CS088,Male,B.Sc CS,UG,AI & Data Science,91.17,89.42,76.75,0,1,2,2,86,6.8,Yes,Not Placed,
22CS089,Male,BCA,UG,AI & Data Science,68.03,72.71,76.26,0,1,2,2,72,3.9,No,Placed,5.4
22CS090,Female,BCA,UG,Cyber Security,79.02,73.78,83.7,0,3,5,2,100,4.0,No,Placed,6.32
22CS091,Male,M.Sc CS,PG,Full Stack,68.75,68.93,70.83,0,3,3,2,68,3.8,No,Placed,5.17
22CS092,Female,M.Sc CS,PG,Cloud & DevOps,69.72,62.28,67.7,1,2,1,2,59,6.9,No,Placed,5.52
22CS093,Male,M.Sc CS,PG,AI & Data Science,83.74,80.56,74.36,0,0,4,2,68,9.9,No,Placed,6.44
22CS094,Male,B.Sc CS,UG,AI & Data Science,75.61,64.49,59.45,1,1,3,2,60,8.4,No,Not Placed,
22CS095,Male,M.Sc CS,PG,Cyber Security,93.4,87.83,78.29,0,3,5,2,77,3.3,No,Placed,5.88
22CS096,Female,BCA,UG,Cloud & DevOps,71.18,72.24,66.97,2,2,4,2,91,8.7,Yes,Placed,7.19
22CS097,Male,BCA,UG,AI & Data Science,85.99,92.59,77.76,0,0,2,2,58,8.2,No,Not Placed,
22CS098,Male,M.Sc CS,PG,AI & Data Science,76.97,68.8,76.17,0,1,2,2,81,3.5,No,Placed,5.8
22CS099,Male,BCA,UG,AI & Data Science,83.96,78.02,75.9,0,1,2,2,72,5.8,No,Placed,5.56
22CS100,Female,BCA,UG,Full Stack,71.53,81.45,78.39,0,0,2,2,49,8.3,No,Placed,4.18
22CS101,Female,M.Sc CS,PG,Full Stack,75.5,80.36,74.98,0,2,3,2,79,7.3,No,Placed,6.43
22CS102,Female,MCA,PG,AI & Data Science,74.85,69.81,69.19,1,1,1,2,82,4.0,No,Not Placed,
22CS103,Male,MCA,PG,AI & Data Science,67.64,70.81,74.34,0,1,3,2,56,7.3,Yes,Placed,5.55
22CS104,Female,BCA,UG,Full Stack,82.62,77.85,74.58,1,0,1,2,68,2.7,No,Placed,3.91
22CS105,Female,BCA,UG,Cloud & DevOps,82.5,79.3,77.7,0,1,2,2,46,6.0,No,Placed,3.74
22CS106,Female,M.Sc CS,PG,Cyber Security,81.94,73.69,71.43,1,0,2,2,48,8.2,Yes,Not Placed,
22CS107,Male,B.Sc CS,UG,Full Stack,91.37,82.17,75.93,1,1,4,2,84,6.5,No,Placed,5.55
22CS108,Male,MCA,PG,AI & Data Science,90.49,73.54,66.5,1,0,2,2,55,5.4,No,Placed,4.98
22CS109,Male,BCA,UG,AI & Data Science,72.25,72.87,63.81,1,2,1,2,44,7.8,No,Not Placed,
22CS110,Female,B.Sc CS,UG,AI & Data Science,79.73,78.68,74.16,0,0,1,2,71,8.0,Yes,Placed,5.7
22CS111,Male,B.Sc CS,UG,Cyber Security,69.76,69.54,69.95,0,1,2,2,57,8.4,No,Placed,5.0
22CS112,Male,MCA,PG,Cloud & DevOps,76.23,65.61,62.22,1,0,1,2,52,7.6,Yes,Not Placed,
22CS113,Male,B.Sc CS,UG,Cloud & DevOps,70.0,76.24,73.61,0,0,3,2,78,8.2,Yes,Placed,5.74
22CS114,Female,B.Sc CS,UG,Cloud & DevOps,92.2,85.08,79.26,0,1,1,2,55,7.7,No,Placed,5.51
22CS115,Male,B.Sc CS,UG,Cloud & DevOps,79.64,72.28,62.74,1,0,3,2,46,6.7,Yes,Not Placed,
22CS116,Female,B.Sc CS,UG,Cloud & DevOps,73.82,71.49,67.23,2,0,2,2,65,6.4,Yes,Not Placed,
22CS117,Female,B.Sc CS,UG,AI & Data Science,87.94,72.66,73.23,0,1,2,2,80,5.8,No,Placed,6.69
22CS118,Female,M.Sc CS,PG,AI & Data Science,54.29,56.72,63.58,1,1,1,2,77,3.9,No,Not Placed,
22CS119,Male,B.Sc CS,UG,Full Stack,55.86,60.22,59.52,3,0,2,2,47,4.4,No,Not Placed,
22CS120,Female,MCA,PG,Full Stack,83.96,85.21,79.76,0,1,4,2,85,6.0,No,Placed,6.43
22CS121,Female,MCA,PG,AI & Data Science,76.6,71.08,74.74,0,1,2,2,57,6.6,No,Not Placed,
22CS122,Female,BCA,UG,Cloud & DevOps,78.5,79.03,78.53,0,1,4,2,96,8.8,No,Placed,6.96
22CS123,Male,B.Sc CS,UG,Full Stack,62.74,64.0,66.02,0,1,3,2,46,6.0,No,Not Placed,
22CS124,Male,M.Sc CS,PG,Full Stack,75.77,75.41,71.37,0,0,1,2,84,8.0,No,Placed,5.92
22CS125,Male,B.Sc CS,UG,AI & Data Science,96.04,84.46,76.16,0,1,2,2,60,8.3,No,Not Placed,
22CS126,Female,BCA,UG,AI & Data Science,84.24,83.45,79.94,0,1,5,2,100,6.1,Yes,Placed,7.18
22CS127,Male,MCA,PG,AI & Data Science,77.7,72.25,72.13,1,3,4,2,74,7.3,No,Placed,7.06
22CS128,Male,MCA,PG,Cloud & DevOps,71.61,63.29,68.49,2,3,2,2,49,5.7,No,Not Placed,
22CS129,Male,M.Sc CS,PG,Full Stack,72.05,64.57,67.27,1,3,1,2,55,8.3,Yes,Not Placed,
22CS130,Female,B.Sc CS,UG,Cyber Security,54.71,59.62,67.05,1,1,4,2,73,7.1,Yes,Placed,5.94
22CS131,Male,M.Sc CS,PG,AI & Data Science,78.58,68.87,69.7,5,0,3,2,79,4.2,No,Not Placed,
22CS132,Female,M.Sc CS,PG,Full Stack,84.45,81.07,79.78,1,1,3,2,71,6.7,No,Placed,5.37
22CS133,Female,BCA,UG,Full Stack,60.24,63.02,69.29,0,0,2,2,65,8.9,Yes,Placed,5.37
22CS134,Male,M.Sc CS,PG,Cyber Security,69.39,83.39,74.81,0,0,3,2,79,6.2,Yes,Placed,5.37
22CS135,Female,B.Sc CS,UG,Cyber Security,64.43,58.45,55.84,1,0,1,2,56,6.7,No,Not Placed,
22CS136,Male,B.Sc CS,UG,AI & Data Science,66.35,69.99,76.17,0,1,3,2,51,7.1,No,Not Placed,
22CS137,Female,BCA,UG,Cloud & DevOps,76.53,68.4,70.07,0,1,1,2,53,4.4,No,Not Placed,
22CS138,Female,B.Sc CS,UG,AI & Data Science,55.16,60.07,57.18,3,0,3,2,58,6.9,No,Not Placed,
22CS139,Female,B.Sc CS,UG,Cloud & DevOps,82.14,78.34,72.15,0,2,2,2,83,4.0,Yes,Placed,6.56
22CS140,Male,MCA,PG,AI & Data Science,83.54,65.79,70.56,0,1,2,2,88,5.1,Yes,Placed,6.6
22CS141,Female,MCA,PG,AI & Data Science,73.49,74.1,71.34,0,2,1,2,76,8.1,No,Placed,8.58
22CS142,Female,BCA,UG,Cloud & DevOps,51.19,70.83,68.45,1,0,2,2,67,6.8,No,Not Placed,
22CS143,Female,MCA,PG,AI & Data Science,66.04,66.27,73.37,1,1,3,2,78,5.6,No,Placed,6.26
22CS144,Female,MCA,PG,Full Stack,88.33,82.38,73.24,0,0,3,2,58,7.2,No,Placed,4.63
22CS145,Male,B.Sc CS,UG,Full Stack,48.22,64.46,63.48,1,1,4,2,57,6.0,No,Not Placed,
22CS146,Male,BCA,UG,AI & Data Science,72.52,71.4,71.69,2,0,2,2,54,6.2,No,Not Placed,
22CS147,Male,BCA,UG,Cyber Security,64.2,64.57,68.31,3,0,4,2,46,7.2,No,Not Placed,
22CS148,Female,B.Sc CS,UG,Cloud & DevOps,84.05,66.34,69.79,2,1,2,2,69,4.9,No,Placed,5.35
22CS149,Male,M.Sc CS,PG,Cloud & DevOps,69.25,73.95,76.01,1,1,2,2,72,6.3,No,Placed,6.05
22CS150,Male,BCA,UG,Full Stack,80.04,75.81,74.28,0,0,1,2,77,5.8,No,Not Placed,
22CS151,Female,BCA,UG,Full Stack,81.65,71.84,73.06,0,2,4,2,74,3.5,No,Not Placed,
22CS152,Female,B.Sc CS,UG,AI & Data Science,94.36,84.98,77.95,0,0,2,2,74,4.9,No,Placed,5.27
22CS153,Male,B.Sc CS,UG,AI & Data Science,73.97,69.93,70.21,1,1,2,2,72,8.9,Yes,Placed,6.37
22CS154,Female,MCA,PG,AI & Data Science,79.76,73.41,72.48,0,1,4,2,66,6.9,Yes,Placed,6.35
22CS155,Male,B.Sc CS,UG,Cloud & DevOps,61.15,69.31,70.44,0,1,3,2,71,3.9,No,Placed,5.39
22CS156,Female,B.Sc CS,UG,Cloud & DevOps,87.9,73.52,75.2,0,1,0,2,58,3.7,No,Placed,4.21
22CS157,Male,B.Sc CS,UG,Cyber Security,68.39,75.67,75.62,2,0,0,2,74,6.1,No,Placed,6.03
22CS158,Female,BCA,UG,Full Stack,70.39,63.57,66.32,1,2,3,2,71,8.7,No,Placed,6.35
22CS159,Female,BCA,UG,Full Stack,75.78,70.5,67.06,1,0,2,2,53,5.9,Yes,Not Placed,
22CS160,Female,BCA,UG,Full Stack,60.37,75.99,73.86,0,0,2,2,68,8.5,No,Placed,5.56
22CS161,Male,B.Sc CS,UG,Full Stack,78.29,81.55,76.82,0,1,3,2,61,7.0,No,Placed,5.78
22CS162,Female,B.Sc CS,UG,Full Stack,85.67,80.05,76.8,0,2,2,2,62,7.2,No,Placed,6.41
22CS163,Male,MCA,PG,AI & Data Science,78.93,70.73,79.27,0,2,3,2,56,3.9,No,Placed,5.8
22CS164,Male,M.Sc CS,PG,AI & Data Science,60.11,62.6,63.47,2,2,3,2,77,7.6,Yes,Placed,6.96
22CS165,Female,M.Sc CS,PG,Cloud & DevOps,74.76,73.91,74.04,0,1,4,2,82,5.7,No,Placed,5.77
22CS166,Male,M.Sc CS,PG,Full Stack,83.42,78.48,79.36,0,2,4,2,79,7.8,No,Placed,6.68
22CS167,Female,M.Sc CS,PG,Cloud & DevOps,57.22,63.38,66.42,1,1,4,2,89,4.7,No,Placed,6.72
22CS168,Female,B.Sc CS,UG,AI & Data Science,65.25,68.12,78.22,0,2,1,2,68,6.5,No,Placed,6.15
22CS169,Male,BCA,UG,Full Stack,84.77,77.86,73.21,0,1,4,2,100,7.0,No,Placed,6.64
22CS170,Female,BCA,UG,AI & Data Science,78.7,67.9,70.04,1,1,4,2,61,5.9,No,Not Placed,
22CS171,Male,B.Sc CS,UG,AI & Data Science,80.12,73.68,69.01,1,1,4,2,67,7.0,No,Placed,5.68
22CS172,Female,MCA,PG,AI & Data Science,94.59,89.37,80.21,0,1,2,2,67,6.1,No,Placed,5.87
22CS173,Male,BCA,UG,AI & Data Science,80.69,69.39,70.63,1,0,3,2,70,5.1,No,Placed,5.21
22CS174,Female,M.Sc CS,PG,Cloud & DevOps,82.58,76.79,77.46,2,1,3,2,82,9.1,Yes,Placed,7.44
22CS175,Male,MCA,PG,Full Stack,99.0,82.42,78.73,0,1,4,2,69,8.2,Yes,Placed,5.8
22CS176,Male,BCA,UG,Full Stack,73.86,73.63,77.21,1,2,4,2,95,5.0,Yes,Placed,6.16
22CS177,Male,MCA,PG,Full Stack,68.02,67.71,68.25,0,1,2,2,67,7.1,Yes,Placed,5.33
22CS178,Female,BCA,UG,Full Stack,80.28,84.53,77.39,1,2,2,2,74,5.2,No,Placed,5.62
22CS179,Female,MCA,PG,Full Stack,80.39,79.35,86.43,0,1,1,2,64,4.4,No,Placed,5.44
22CS180,Female,B.Sc CS,UG,AI & Data Science,70.73,64.22,68.11,0,2,2,2,69,7.8,Yes,Placed,7.12
22CS181,Female,BCA,UG,Cloud & DevOps,65.68,72.15,68.41,2,0,4,2,61,3.3,No,Not Placed,
22CS182,Female,BCA,UG,Cyber Security,99.0,82.67,74.82,1,2,4,2,60,8.0,No,Placed,5.61
22CS183,Female,B.Sc CS,UG,Cyber Security,79.27,72.88,67.96,0,1,1,2,52,5.8,No,Not Placed,
22CS184,Male,BCA,UG,Full Stack,68.68,71.87,74.87,0,1,4,2,100,5.9,Yes,Placed,6.43
22CS185,Female,MCA,PG,AI & Data Science,85.16,76.58,72.49,1,1,2,2,63,7.0,No,Placed,6.06
22CS186,Female,M.Sc CS,PG,Cloud & DevOps,74.91,78.42,75.56,0,1,2,2,48,7.4,Yes,Placed,4.86
22CS187,Male,B.Sc CS,UG,Full Stack,73.47,68.63,68.92,0,1,2,2,54,4.8,No,Placed,4.21
22CS188,Male,B.Sc CS,UG,AI & Data Science,81.62,73.95,75.3,1,2,0,2,68,7.5,Yes,Placed,6.37
22CS189,Female,B.Sc CS,UG,Full Stack,63.08,63.55,62.74,2,2,4,2,67,6.3,No,Not Placed,
22CS190,Male,B.Sc CS,UG,Cyber Security,79.53,73.09,67.55,1,1,5,2,70,4.1,No,Not Placed,
22CS191,Female,MCA,PG,Cyber Security,95.13,90.66,83.29,0,1,3,2,84,6.3,Yes,Placed,6.9
22CS192,Male,BCA,UG,Cyber Security,80.66,80.16,78.5,0,1,3,2,62,8.8,Yes,Placed,7.25
22CS193,Male,B.Sc CS,UG,Cyber Security,72.24,81.36,78.15,0,2,3,2,75,9.3,No,Placed,6.03
22CS194,Female,BCA,UG,AI & Data Science,70.93,83.66,74.96,0,2,2,2,56,7.7,No,Placed,5.51
22CS195,Male,B.Sc CS,UG,Cloud & DevOps,71.9,66.38,70.54,2,1,1,2,56,4.1,No,Not Placed,
22CS196,Male,B.Sc CS,UG,Full Stack,73.46,73.18,68.93,0,3,2,2,51,7.1,Yes,Placed,5.12
22CS197,Female,M.Sc CS,PG,Cyber Security,72.22,65.77,65.38,1,1,0,2,44,7.6,Yes,Placed,5.08
22CS198,Female,M.Sc CS,PG,AI & Data Science,85.16,75.04,69.25,0,2,2,2,79,7.5,No,Placed,7.22
22CS199,Male,MCA,PG,Cloud & DevOps,58.67,61.26,69.96,1,3,3,2,74,7.4,No,Placed,6.54
22CS200,Male,M.Sc CS,PG,AI & Data Science,84.62,73.23,74.47,0,2,3,2,82,6.9,Yes,Not Placed,
22CS201,Female,BCA,UG,AI & Data Science,72.2,66.43,70.28,0,0,2,2,65,6.0,No,Not Placed,
22CS202,Female,M.Sc CS,PG,Full Stack,79.77,75.49,78.29,0,1,1,2,82,5.3,No,Placed,5.68
22CS203,Female,MCA,PG,AI & Data Science,64.73,61.43,76.11,0,0,1,2,44,2.8,Yes,Not Placed,
22CS204,Male,M.Sc CS,PG,AI & Data Science,89.29,86.05,72.8,1,2,4,2,79,7.1,No,Placed,6.6
22CS205,Male,MCA,PG,Cyber Security,88.46,76.1,70.7,0,1,2,2,68,6.6,Yes,Placed,5.21
22CS206,Male,M.Sc CS,PG,Full Stack,85.6,94.65,82.32,0,2,3,2,83,7.6,No,Placed,6.34
22CS207,Male,MCA,PG,Cloud & DevOps,60.85,63.43,62.66,0,2,5,2,64,3.8,No,Placed,5.28
22CS208,Female,B.Sc CS,UG,Full Stack,84.29,79.15,71.18,1,0,1,2,52,7.5,No,Not Placed,
22CS209,Male,M.Sc CS,PG,Cyber Security,80.05,69.43,68.46,1,1,4,2,42,9.7,Yes,Placed,5.33
22CS210,Female,BCA,UG,Full Stack,59.95,74.58,67.88,0,1,2,2,53,6.4,No,Not Placed,
22CS211,Female,BCA,UG,Cyber Security,75.76,80.11,77.41,0,1,3,2,78,6.3,No,Placed,5.15
22CS212,Female,M.Sc CS,PG,Full Stack,79.65,77.81,74.89,0,0,5,2,78,6.9,No,Placed,5.88
22CS213,Male,MCA,PG,Full Stack,81.56,69.99,71.92,0,0,2,2,47,9.7,No,Not Placed,
22CS214,Female,MCA,PG,Cloud & DevOps,77.77,76.31,75.82,1,1,3,2,55,4.6,Yes,Not Placed,
22CS215,Female,B.Sc CS,UG,Full Stack,78.91,69.75,72.26,0,1,2,2,56,6.5,No,Placed,4.27
22CS216,Female,M.Sc CS,PG,AI & Data Science,90.74,90.2,80.63,0,1,2,2,67,5.2,No,Placed,6.05
22CS217,Male,M.Sc CS,PG,Cyber Security,88.26,85.31,87.67,0,0,4,2,59,5.6,No,Placed,4.38
22CS218,Male,B.Sc CS,UG,Cloud & DevOps,47.33,58.95,64.31,3,1,4,2,40,5.9,Yes,Placed,4.28
22CS219,Female,B.Sc CS,UG,AI & Data Science,72.83,59.3,56.13,2,1,2,2,43,8.3,No,Placed,7.75
22CS220,Male,B.Sc CS,UG,Full Stack,74.35,67.98,64.78,0,1,3,2,62,9.2,No,Placed,5.06
22CS221,Male,M.Sc CS,PG,Cloud & DevOps,58.48,68.28,62.0,0,2,3,2,42,6.9,No,Not Placed,
22CS222,Female,BCA,UG,Cyber Security,76.94,81.27,76.83,1,1,2,2,68,5.8,No,Not Placed,
22CS223,Female,MCA,PG,Cloud & DevOps,88.49,87.06,79.75,0,1,2,2,87,10.0,No,Placed,7.12
22CS224,Female,BCA,UG,Full Stack,65.13,59.63,61.9,2,2,1,2,40,5.3,Yes,Not Placed,
22CS225,Male,MCA,PG,Cyber Security,79.36,77.68,82.65,0,1,4,2,71,5.4,No,Placed,5.37
22CS226,Female,BCA,UG,Full Stack,66.84,74.65,74.98,1,1,5,2,83,3.3,No,Not Placed,
